ID;Avaliador;Tempo ;Avaliacao;Superior;Inferior;Lateral;Mesencefalo;Ponte.Bulbo;Cerebelo;Total
1;GABARITO;PRE;AV1;1;1;1;3;2;3;11
1;NCR3;PRE;AV1;1;1;1;3;3;3;12
1;NCR2;PRE;AV1;1;1;1;3;2;3;11
1;R4;PRE;AV1;1;1;1;3;1;3;10
1;R3;PRE;AV1;1;1;1;2;2;3;10
1;R2;PRE;AV1;1;1;1;3;2;3;11
1;R1;PRE;AV1;1;1;1;3;2;3;11
1;GABARITO;POS;AV1;1;1;0;3;1;3;9
1;NCR3;POS;AV1;1;1;1;0;0;0;3
1;NCR2;POS;AV1;1;1;1;3;1;3;10
1;R4;POS;AV1;1;1;1;0;1;3;7
1;R3;POS;AV1;0;1;0;3;1;2;7
1;R2;POS;AV1;0;0;0;2;1;0;3
1;R1;POS;AV1;1;1;0;1;2;3;8
2;GABARITO;PRE;AV1;1;1;1;2;2;1;8
2;NCR3;PRE;AV1;1;1;1;2;2;2;9
2;NCR2;PRE;AV1;1;1;1;3;2;2;10
2;R4;PRE;AV1;1;1;1;3;2;3;11
2;R3;PRE;AV1;1;1;1;3;2;2;10
2;R2;PRE;AV1;1;1;1;2;2;2;9
2;R1;PRE;AV1;1;1;1;3;2;3;11
2;GABARITO;POS;AV1;1;1;1;0;1;2;6
2;NCR3;POS;AV1;1;1;1;1;1;1;6
2;NCR2;POS;AV1;0;1;1;2;1;1;6
2;R4;POS;AV1;1;1;1;2;2;2;9
2;R3;POS;AV1;1;1;1;1;1;1;6
2;R2;POS;AV1;1;0;1;0;1;1;4
